                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2412,                 3.1262,                 1.2072,                 0.5595,                0.42151,                0.43041,                  0.338,                0.88484,                 1.6084,                 1.0264,              0.0033331,              0.0033331,              0.0033331
                      2,                 1.1759,                   2.08,                 1.1594,                0.63853,                0.51922,                0.56932,                0.45214,                0.82979,                  1.319,                  1.008,              0.0064464,              0.0064464,              0.0064464
                      3,                  1.228,                  2.075,                 1.1967,                0.67698,                0.52997,                0.60633,                0.48141,                0.81476,                 1.2677,                 1.0117,              0.0093397,              0.0093397,              0.0093397
                      4,                 1.2037,                 1.9675,                 1.1952,                0.72009,                0.60075,                0.67289,                0.53743,                0.78441,                 1.1285,                 1.0025,                0.00901,                0.00901,                0.00901
                      5,                 1.1239,                 1.7443,                 1.1582,                  0.735,                0.65348,                0.72321,                0.58256,                0.75376,                 1.0156,                0.98725,                0.00901,                0.00901,                0.00901
                      6,                 1.0717,                 1.5838,                 1.1304,                0.77373,                0.67278,                0.75373,                0.61181,                   0.73,                0.94324,                0.97432,                0.00868,                0.00868,                0.00868
                      7,                 1.0301,                 1.4691,                 1.1087,                0.80015,                0.69317,                0.77773,                0.63508,                 0.7146,                0.88942,                0.96565,                0.00835,                0.00835,                0.00835
                      8,                0.99954,                 1.3876,                 1.0916,                0.81109,                0.71649,                0.79557,                0.65308,                0.70307,                0.85153,                0.95872,                0.00802,                0.00802,                0.00802
                      9,                0.97499,                 1.3155,                 1.0798,                0.83389,                0.72469,                0.80832,                0.66519,                0.69356,                0.82297,                0.95334,                0.00769,                0.00769,                0.00769
                     10,                0.95759,                 1.2652,                 1.0696,                0.84597,                0.73173,                0.81842,                0.67502,                0.68529,                0.79828,                 0.9489,                0.00736,                0.00736,                0.00736
                     11,                0.94119,                 1.2122,                 1.0594,                0.85289,                0.74025,                0.82789,                0.68465,                0.67921,                0.77483,                0.94521,                0.00703,                0.00703,                0.00703
                     12,                0.92162,                 1.1665,                 1.0482,                0.86387,                0.74538,                0.83604,                0.69269,                0.67268,                0.75317,                0.94122,                 0.0067,                 0.0067,                 0.0067
                     13,                0.90796,                 1.1275,                 1.0405,                0.87125,                0.75068,                0.84415,                0.70056,                0.66718,                0.73266,                0.93778,                0.00637,                0.00637,                0.00637
                     14,                0.89591,                  1.094,                 1.0347,                0.86834,                0.76265,                0.85249,                0.70824,                0.66163,                0.71289,                0.93405,                0.00604,                0.00604,                0.00604
                     15,                0.88117,                 1.0594,                 1.0267,                0.86004,                0.78046,                0.86028,                 0.7158,                0.65684,                0.69392,                0.93045,                0.00571,                0.00571,                0.00571
                     16,                0.86697,                 1.0272,                 1.0209,                0.87377,                 0.7876,                0.86772,                0.72319,                0.65145,                0.67459,                0.92704,                0.00538,                0.00538,                0.00538
                     17,                0.86072,                 1.0045,                 1.0163,                0.87552,                 0.7971,                0.87371,                0.72955,                0.64682,                0.65715,                0.92394,                0.00505,                0.00505,                0.00505
                     18,                0.84825,                0.97219,                 1.0106,                0.88492,                0.80179,                0.88041,                0.73649,                0.64256,                0.64057,                 0.9211,                0.00472,                0.00472,                0.00472
                     19,                 0.8342,                0.94302,                 1.0042,                0.89115,                 0.8078,                0.88641,                 0.7422,                0.63779,                0.62463,                 0.9181,                0.00439,                0.00439,                0.00439
                     20,                0.82511,                0.92077,                 0.9997,                0.89642,                0.81699,                0.89215,                0.74795,                0.63311,                0.60849,                0.91497,                0.00406,                0.00406,                0.00406
                     21,                0.81492,                0.89015,                0.99358,                0.90126,                0.82225,                 0.8974,                0.75456,                0.62822,                0.59363,                  0.912,                0.00373,                0.00373,                0.00373
                     22,                 0.8012,                0.86355,                0.98794,                0.90022,                0.82883,                0.90212,                0.76002,                0.62356,                0.58017,                0.90906,                 0.0034,                 0.0034,                 0.0034
                     23,                0.78781,                  0.837,                0.98192,                0.90154,                0.83785,                0.90712,                0.76549,                0.61907,                0.56767,                0.90633,                0.00307,                0.00307,                0.00307
                     24,                0.77664,                0.80795,                0.97752,                0.89999,                0.84775,                0.91095,                0.77067,                0.61506,                0.55632,                0.90357,                0.00274,                0.00274,                0.00274
                     25,                0.76363,                0.78371,                0.97047,                0.90236,                0.85263,                0.91474,                0.77555,                0.61128,                0.54567,                0.90108,                0.00241,                0.00241,                0.00241
                     26,                0.75027,                 0.7564,                0.96333,                0.90251,                0.85999,                0.91786,                0.77991,                0.60783,                0.53539,                0.89888,                0.00208,                0.00208,                0.00208
                     27,                0.73872,                0.73216,                0.95821,                0.90921,                0.86468,                0.92105,                0.78433,                0.60435,                0.52615,                0.89654,                0.00175,                0.00175,                0.00175
                     28,                 0.7248,                0.70801,                0.95408,                0.90686,                0.87187,                 0.9244,                0.78821,                0.60137,                0.51736,                0.89431,                0.00142,                0.00142,                0.00142
                     29,                0.71097,                0.68267,                0.94788,                 0.9139,                0.87483,                0.92741,                0.79154,                 0.5981,                0.50941,                0.89208,                0.00109,                0.00109,                0.00109
                     30,                0.69679,                 0.6571,                0.94266,                0.92005,                0.87677,                0.93055,                0.79516,                0.59523,                0.50089,                0.89013,                0.00076,                0.00076,                0.00076
